facility,level,hub,district,region,dhis2_uid,dhis2_name,DHIS2_UID,HIBRID_UID
Zumbo H/C III,H/C III,Warr Hub  ,Zombo,West Nile,\N,Zumbo HC III,tuYjF238GTf,gINtrfWfCQF
Kanywamaizi H/C III,H/C III,Rwekubo Hub   ,Isingiro,South Western,\N,Kanywamaizi HC III,aKwOiCIvmn5,up23IDsqeOO
Kyankwanzi H/C III,H/C III,Ntwetwe Hub    ,Kyankwanzi,Central 2,RNfCSfnBlxh,Kyankwazi HC III,RNfCSfnBlxh,CidRmiJVi7L
Burunga H/C III,H/C III,Rushere Hub   ,Kazo,South Western,\N,Burunga HC III,j0I9qHOtVIw,xhqTkK5fUEj
Karambi H/C III (Kabarole),H/C III,FortPortal Hub  ,Kabarole,Mid Western,\N,Karambi HC III (Kabarole),aOKbOOqOG6Y,rcByu3XVBsF
Kacheera H/C III,H/C III,Rakai Hub   ,Rakai,Central 1,k3xgvufxeWb,Kacheera HC III,k3xgvufxeWb,Fnley9gwZml
Kashare H/C III,H/C III,Mbarara Hub   ,Mbarara,South Western,ahkQO7FQKKK,Kashare HC III,ahkQO7FQKKK,rhFtuhYN867
Kiryanga H/C III,H/C III,Kagadi Hub   ,Kagadi,Mid Western,\N,Kiryanga HC III,DdEgPYS7ttc,DsgEobsWA0I
Pakanyi H/C III,H/C III,Masindi Hub   ,Masindi ,Mid Western,LyUOH3aGCga,Pakanyi HC III,LyUOH3aGCga,exoCpfzvXbF
Nyarubuye H/C III,H/C III,Kisoro Hub   ,Kisoro,South Western,\N,Nyarubuye HC III,HlsEfEtkMwL,qbtWnZqUP0L
Busitema H/C III,H/C III,Masafu Hub   ,Busia,Mid Eastern,\N,Busitema HC III,x2bKnIqqcFt,qAA0g6eh8cP
Buluganya H/C III,H/C III,Kapchorwa Hub   ,Bulambuli,Mid Eastern,\N,Buluganya HC III,VboJZXGJBI9,ewZj2CX3Huw
Chebonet H/C III,H/C III,Kapchorwa Hub   ,Kapchorwa,Mid Eastern,\N,Chebonet HC III,Cxa96htrVdt,hHEUpS2qvR5
Padwot Midyere H/C III,H/C III,Nebbi Hub   ,Nebbi,West Nile,\N,Padwot Midyere HC III,eKAZwpYo3r5,q1jQ4EKXTQ4
Alenga H/C III,H/C III,Apac Hub    ,Apac,Mid Northern,eR77udlIWIM,Alenga HC III,eR77udlIWIM,Wp3MBTPir9Y
Obalanga H/C III,H/C III,Amuria Hub   ,Amuria,North East,\N,Obalanga HC III,rbxGtvw8E8X,UQOEeIYStIN
Bwendero H/C III,H/C III,Kalangala Hub    ,Kalangala,Central 1,yOzYKPK76Bq,Bwendero HC III,yOzYKPK76Bq,RBQwbkYXkes
Chesower H/C III,H/C III,Kapchorwa Hub   ,Bukwo,Mid Eastern,\N,Chesower HC III,Ny6gpfiiHon,Cl7wAw3efAj
Kakomo H/C III,H/C III,Kabale Hub   ,Kabale,South Western,kbiNehvstx4,Kakomo HC III,kbiNehvstx4,Xi6ccauUIlG
Buyanja H/C III (Rukungiri),H/C III,Nyakibale Hub   ,Rukungiri,South Western,abHQOTY0rmo,Buyanja HC III,abHQOTY0rmo,lCbhW7Sd2q6
Dranya H/C III,H/C III,Koboko Hub   ,Koboko,West Nile,\N,Dranya HC III,URmGWanfgpn,Rtr6jInq8qm
Dricile H/C III,H/C III,Koboko Hub   ,Koboko,West Nile,\N,Dricile HC III,Nz32J3zs8Cq,e7bvx94X71J
Makondo H/C II,H/C II,Lwengo Hub    ,Lwengo,Central 1,\N,Makondo HC II,c4QCM3YpqqE,OkrF5Oc2Caa
Kameruka H/C III,H/C III,Mbale Hub   ,Budaka,Mid Eastern,ptpCYlWn6s7,Kameruka HC III,ptpCYlWn6s7,BHzGFmJoaKl
Rubondo H/C II,H/C II,Rwekubo Hub   ,Isingiro,South Western,\N,Rubondo HC II,K295qd0SaGs,cn7rSuBDBYT
Angal Hospital (St Luke),Hospital,Nebbi Hub   ,Nebbi,West Nile,K7Do3WBvmLa,Angal St. Luke HOSPITAL,K7Do3WBvmLa,EHTsrGy30zX
Ikonia H/C III,H/C III,Iganga Hub    ,Luuka,East Central,BaAs4hm4jc7,Ikonia HC III,BaAs4hm4jc7,sjLWIfZjG6r
Mbehenyi H/C III,H/C III,Masafu Hub   ,Busia,Mid Eastern,\N,Mbehenyi HC III,uxV110Fc7jo,M21FBdcqf9b
Kasenda H/C III,H/C III,FortPortal Hub  ,Kabarole,Mid Western,\N,Kasenda HC III,t2B8bbXaxBm,NQfSqGvyAOK
Buwalasi H/C III,H/C III,Budadiri Hub     ,Sironko,Mid Eastern,\N,Buwalasi HC III,GpKYBJWFJJ6,fPNzQ3Io0vW
Mawujjo H/C II,H/C II,Mubende Hub    ,Mubende,Central 2,\N,Mawujjo HC II,lcBEpZG4m9x,NCtX1SzzHbS
Kinoni H/C III (Kiruhura),H/C III,Rushere Hub   ,Kiruhura,South Western,ypTdjdfOiN7,Kiruhura Kinoni HC III GOVT,ypTdjdfOiN7,GKUsuE27rpV
Bulangira H/C III,H/C III,Pallisa Hub   ,Kibuku,Mid Eastern,\N,Bulangira HC III,YkSJ96XhKro,g39XZ34jSOx
Kikonda H/C III,H/C III,Ntwetwe Hub    ,Kyankwanzi,Central 2,N05ZDulF2ME,Kikonda HC III,N05ZDulF2ME,T2yUzA6enID
Kadama H/C III,H/C III,Pallisa Hub   ,Kibuku,Mid Eastern,\N,Kadama HC III,qebkADihERQ,YfjrSb0daHU
Jangokoro H/C III,H/C III,Warr Hub  ,Zombo,West Nile,\N,Jangokoro HC III,aTH1dUHop5k,cpQg8IQ2Isk
Lambu H/C II,H/C II,Masaka Hub   ,Masaka,Central 1,\N,Lambu HC II,OpHCVPDEaBb,zsHYLXnreZs
Cheptuya H/C III,H/C III,Kapchorwa Hub   ,Kapchorwa,Mid Eastern,\N,Cheptuya HC III,mOxAHl3KoLP,lU2J791xLeI
TASO Entebbe,Special Clinic,Entebbe Hub   ,Wakiso,Central 1,tf5lSUl7OmO,TASO Entebbe CLINIC,tf5lSUl7OmO,mFup94Qu9PU
Bugaya H/C III (Buyende),H/C III,Kidera Hub   ,Buyende ,East Central,ADB4cMlJP2q,Buyende Bugaya HC III GOVT,ADB4cMlJP2q,WcyoUsZ1nFU
Naboa H/C III,H/C III,Mbale Hub   ,Budaka,Mid Eastern,\N,Naboa HC III,G4PdJuhXqOz,AVXcQZ2S3RH
Kyakatara H/C III,H/C III,Kyenjojo Hub   ,Kyenjojo,Mid Western,\N,Kyakatara HC III,wmzTMo2sIKx,OoPKtEPk2II
Health Initiative for Africa- Uganda,Special Clinic,Kawolo Hub   ,Buikwe ,Central 2,D2O6Qzf4hl8,Health Initiative for Africa - Uganda,D2O6Qzf4hl8,GOpSAdWkcan
Kyatiri H/C III,H/C III,Masindi Hub   ,Masindi ,Mid Western,g8JZTLexaAr,Kyatiri HC III,g8JZTLexaAr,LWQ0RxfS9Ck
Kabatunda H/C III,H/C III,Kilembe Mines Hub   ,Kasese,Mid Western,\N,Kabatunda HC III,sVrJn8E1ypr,l2I31XNvF5g
Galimagi H/C III,H/C III,Pallisa Hub   ,Pallisa,Mid Eastern,\N,Galimagi HC III,auY0zuO56sC,vXjmrr2W8aa
Kida Hospital,Hospital,FortPortal Hub  ,Kabarole,Mid Western,QEpV6yJSsCN,Kida Hospital,QEpV6yJSsCN,FT9VNomVWRv
Nyakitibwa H/C III,H/C III,Masindi Hub   ,Masindi ,Mid Western,aFXkqZXMomP,Nyakitiibwa HC III,aFXkqZXMomP,tX2oqLqSw4T
Pakia H/C III,H/C III,Nebbi Hub   ,Pakwach,West Nile,\N,Pakia HC III,Ea3Z8ofIGDw,ehwPEUJIZhB
St Anthony Hospital,Hospital,Tororo Hub   ,Tororo,Mid Eastern,iOwO7cTQKfH,St. Anthony'S Tororo HOSPITAL,iOwO7cTQKfH,XCiLL2X8cok
Kwapa H/C III,H/C III,Tororo Hub   ,Tororo,Mid Eastern,idW1pR7k8m2,Kwapa HC III,idW1pR7k8m2,sNx4UwOmojI
Kisojo H/C II (Kasese),H/C II,Kagando Hub   ,Kasese,Mid Western,HjhLsl0DHSQ,MubukuKisojo HC II,#N/A,TzLXjHgAC9Q
Bukwo General Hospital,Hospital,Kapchorwa Hub   ,Bukwo,Mid Eastern,\N,Bukwo General Hospital,as59xHu47PE,gGhINFddMup
Kakatunda H/C III,H/C III,Kabale Hub   ,Rukiga,South Western,\N,Kakatunda HC III,SQlEN22KQM2,JiiZlDZrZyI
Biiso H/C III,H/C III,Buliisa Hub   ,Buliisa,Mid Western,EPMb6dGjqnz,Biiso HC III,EPMb6dGjqnz,JRXnLtgAldJ
Palorinya H/C III,H/C III,Moyo Hub   ,Moyo,West Nile,\N,Palorinya HC III,aQnmwOGxGcK,G8DLLPxqqnK
St Francis C H/C III (HOSFA)- Mityana,H/C III,Mityana Hub   ,Mityana,Central 2,HVwuyUY7azZ,"St. Francis, HC III",HVwuyUY7azZ,SQ21JwDGJzR
Bukewa H/C III,H/C III,Tororo Hub   ,Manafwa,Mid Eastern,wcTUcjmdOA3,Bukewa HC III,wcTUcjmdOA3,CF3Ctstx2bA
Bukhabusi H/C III,H/C III,Tororo Hub   ,Namisindwa,Mid Eastern,JiMsrQGUs6H,Bukhabusi HC III,JiMsrQGUs6H,Gmm1iGY9ZS2
Nakaloke H/C III,H/C III,Mbale Hub   ,Mbale,Mid Eastern,J1vQouUOY5h,Nakaloke HC III,J1vQouUOY5h,P2zaz6AcxiG
Aroi H/C III,H/C III,Arua Hub   ,Arua,West Nile,\N,Aroi HC III,l268ov5GFsR,CgnJFR0AKnY
Lugazi Muslim H/C II,H/C II,Kawolo Hub   ,Buikwe ,Central 2,\N,Lugazi Muslim HC II,J8lqAR46pse,xPNkEnFoMpw
Mujunza H/C II,H/C II,Ntwetwe Hub    ,Kyankwanzi,Central 2,cdusFUkNTOC,Mujunza HC II,cdusFUkNTOC,q3td2IoSLfH
Aarapoo H/C II,H/C II,Serere Hub   ,Serere,North East,\N,Aarapoo HC II,aVQCbe80pl7,n5vyJr2cUbb
Ajeluk H/C III,H/C III,Ngora Hub    ,Ngora,North East,\N,Ajeluk HC III,X8l6y8IN4z9,NNqdub3CGJp
Kanyantorogo H/C III,H/C III,Kanungu Hub   ,Kanungu,South Western,NLIAgxXVsuv,Kanyantorogo Gvt HC III,NLIAgxXVsuv,KnFiBS8MgI9
Buhozi H/C III,H/C III,Kisoro Hub   ,Kisoro,South Western,\N,Buhozi HC III,p3y6tUhOXnp,H7Fwhd9O35B
Bukiro H/C III,H/C III,Mbarara Hub   ,Mbarara,South Western,BF4V8LnfSsj,Bukiiro HC III,BF4V8LnfSsj,Nh5Mds3h8eH
Ruharo Mission Hospital,Hospital,Mbarara Hub   ,Mbarara,South Western,gBG1N1o51QR,Ruharo Mission Hospital,gBG1N1o51QR,obF8pnDnZv5
Kiziba H/C III (Wakiso),H/C III,Wakiso Hub  ,Wakiso,Central 1,gCobOTnUj2H,Kiziba HC III,gCobOTnUj2H,toggrOoVjcc
Ddungi H/C II,H/C II,Kawolo Hub   ,Buikwe ,Central 2,\N,Ddungi HC II,k7sazN1EJ0o,yG4n9SEUdtT
Bulumbi H/C III,H/C III,Masafu Hub   ,Busia,Mid Eastern,\N,Bulumbi HC III,SeWJV46N6Qc,qIn3YuGFir8
Lacor Hospital,Hospital,Gulu Hub   ,Gulu,Mid Northern,aPsvoBYxsDS,St. Mary's Hospital Lacor,aPsvoBYxsDS,x8sa03vFG62
Lalle H/C II,H/C II,Soroti Hub   ,Soroti,North East,\N,Lalle HC II,KabGzoH7k7H,cIrYW4YXLoh
Bumwambu H/C III,H/C III,Kapchorwa Hub   ,Bulambuli,Mid Eastern,\N,Bumwambu HC III,GT8CbxGtA7o,LDxZoQow8cd
Nyadri H/C III,H/C III,Arua Hub   ,Maracha Terego,West Nile,\N,Nyadri HC III,acTilIN9qRy,iJ5DawoFI7r
Reachout (Mbuya Site),Special Clinic,Self Pick,Kampala,Kampala,lQvAAAQpBP2,Reach Out - Mbuya Clinic HC II,lQvAAAQpBP2,sevHjebLAHx
Kamonkoli H/C III,H/C III,Mbale Hub   ,Budaka,Mid Eastern,aEAa6essoBR,Kamonkoli HC III,aEAa6essoBR,sxNLDWrT04L
Kasensero H/C II,H/C II,Rakai Hub   ,Kyotera,Central 1,KyCqBaEFJk5,Kasensero HC II,KyCqBaEFJk5,Efk4i73bZl4
Sapiri H/C III,H/C III,Mbale Hub   ,Budaka,Mid Eastern,\N,Sapiri HC III,A6pRqAKPNFH,IsJhVbeSfcK
Aukot H/C II,H/C II,Soroti Hub   ,Soroti,North East,\N,Aukot HC II,t7m1vt8ZdgY,zYLQOby0Gd7
AIDS Information Centre (Mbarara),Special Clinic,Mbarara Hub   ,Mbarara,South Western,sPWbPZtb3ut,AIC Mbarara Main Branch CLINIC,sPWbPZtb3ut,egar5QGcD1s
Kamukuzi Division H/C II,H/C III,Mbarara Hub   ,Mbarara,South Western,qbh38u2Laz4,Kamukuzi Division HC II,qbh38u2Laz4,ynf98yalbor
Mbarara Community Hospital,Hospital,Mbarara Hub   ,Mbarara,South Western,NvEq5qtAV4e,Mbarara Community Hospital,NvEq5qtAV4e,P12rINYYjeP
Muko H/C III (NGO),H/C III,Kabale Hub   ,Rubanda,South Western,gOFecbOs5XI,Muko Ngo HC III,gOFecbOs5XI,zD4WL0cGIim
Kyogo H/C III,H/C III,Kabale Hub   ,Kabale,South Western,TsDWptFDnmn,Kyogo HC III,TsDWptFDnmn,SVE1KEp0BCs
Kitanga H/C III (Rukiga),H/C III,Kabale Hub   ,Rukiga,South Western,bCuS4DX8Emh,Kitanga HC II GOVT,#N/A,rlWrpbEqn5U
Nyarushanje H/C III,H/C III,Nyakibale Hub   ,Rukungiri,South Western,\N,Nyarushanje HC III,mPeGNV8s5Xl,VwCsHpG6OQH
Rubanda PHC H/C III,H/C III,Kabale Hub   ,Rubanda,South Western,\N,Rubanda PHC HC III,QTU5FkY0Zjl,aY7FgQfEtMV
Reachout (Banda Site),Special Clinic,Self Pick,Kampala,Kampala,F8jqYgk21HM,Reach Out - Banda CLINIC,F8jqYgk21HM,hyjq4bnXvCy
Bufumira H/C III,H/C III,Kalangala Hub    ,Kalangala,Central 1,mWaRCpc5hPU,Bufumira HC III,mWaRCpc5hPU,vyvcdA3M7x7
407 Brigade H/C III,H/C III,Tokora Hub    ,Nakapiripirit,North East,WqIs7ciPmmO,407 Brigade HC III,WqIs7ciPmmO,D745aKsouqd
Kijunjubwa H/C III,H/C III,Masindi Hub   ,Masindi ,Mid Western,CwftR8k7pWb,Kijunjubwa HC III,CwftR8k7pWb,OHuOCmGeVZ5
Byakabanda H/C III,H/C III,Rakai Hub   ,Rakai,Central 1,tnBn02e8bRU,Byakabanda HC III,tnBn02e8bRU,pzFCqiAEyqZ
Kashenshero H/C III,H/C III,kitagata Hub   ,Mitooma,South Western,Lu7D9BapOxL,Kashenshero HC III,Lu7D9BapOxL,oBl9f9EBQWf
Kyankaramata H/C II,H/C II,Kyenjojo Hub   ,Kyenjojo,Mid Western,\N,Kyankaramata HC II,lAp1gLzugAb,MZYNbW1Gnqj
Kirumba H/C III (Rakai),H/C III,Rakai Hub   ,Kyotera,Central 1,alzpRLW14i8,Kirumba HC III,alzpRLW14i8,Iikp1j45PRR
Muwanga H/C III,H/C III,Kiboga Hub   ,Kiboga,Central 2,kKuqQelGUnq,Muwanga HC III,kKuqQelGUnq,dEFXHdRHCsI
Bujalya H/C III,H/C III,Hoima Hub   ,Hoima,Mid Western,\N,Bujalya HC III,WcfbUI6UJkF,IBdSr97BCab
Butiaba H/C II,H/C II,Buliisa Hub   ,Buliisa,Mid Western,GnAcwCmEkxS,Butiaba HC III,GnAcwCmEkxS,SlFLUypMpaL
Biwihi H/C II,H/C II,Buyinja Hub   ,Namayingo,East Central,y6p5eLimu2C,Biwihi HC II,y6p5eLimu2C,xH7qazZ5aIe
Mugarama H/C III (Kibaale),H/C III,Kakindo Hub   ,Kibaale,Mid Western,JmHLIGnm4TQ,Mugarama HC III,JmHLIGnm4TQ,S5mAeiZYTEl
Kyakiddu H/C II,H/C II,kassanda Hub   ,Mubende,Central 2,\N,Kyakiddu HC II,D4S3z8ShsQT,zliW9lnfdLK
Amucu H/C III,H/C III,Amuria Hub   ,Amuria,North East,\N,Amucu HC III,N8L6gKVGOCM,iHle8Tg0npt
Kirima H/C III,H/C III,Kanungu Hub   ,Kanungu,South Western,\N,Kirima HC III,thK2qGR4iAo,b7tAELTxtYB
Kireka SDA H/C III,H/C III,Entebbe Hub   ,Wakiso,Central 1,\N,Kireka SDA HC III,ziRKF2GJeEU,L89CBUz9nci
Nsambya Police H/C IV,H/C IV,Kampala Hub,Kampala,Kampala,nBjhoOrem20,Nsambya Police Clinic HC III,nBjhoOrem20,bUlXz6kXvR4
Olwal H/C III,H/C III,Atiak Hub   ,Amuru,Mid Northern,vnIPfEUR8ce,Olwal HC III,vnIPfEUR8ce,gByFnajmIXu
Kibale H/C III(Palisa),H/C III,Pallisa Hub   ,Pallisa,Mid Eastern,BsWuppxjpNO,Kibale HC III,BsWuppxjpNO,X9LydzX2ukD
Adilang H/C III,H/C III,Kalongo Hub   ,Agago,Mid Northern,FvewOonC8lS,Adilang HC III,FvewOonC8lS,e5SkFfcIfu7
Kalapata H/C III,H/C III,Kaabong Hub   ,Kaabong ,North East,\N,Kalapata HC III,UR7F5sFNDQO,sIagpnDIFeW
FAD Military H/C IV (MMH),H/C IV,Masindi Hub   ,Masindi ,Mid Western,a4dl1FKIVQJ,Masindi MilitaryArmy Barracks HC IV,a4dl1FKIVQJ,ifd7JKD68J3
St Monica H/C III (Katende),H/C III,Mpigi Hub    ,Mpigi,Central 1,aLQq5QTDV2s,St. Monica Katende HC III,aLQq5QTDV2s,x28XQx5Ab7q
Mutundwe H/C II,H/C II,Entebbe Hub   ,Wakiso,Central 1,\N,Mutundwe HC II,hhmgVHpv8Rf,MwBLelewXLF
Kyabirukwa H/C III,H/C III,Rwekubo Hub   ,Isingiro,South Western,\N,Kyabirukwa HC III,aTaU1OfpPkU,q82cFtzVVGE
Jaana H/C II,H/C II,Kalangala Hub    ,Kalangala,Central 1,\N,Jaana HC II,azzeotS1e0O,tM2FpMhev7N
Gamatimbei H/C III,H/C III,Kapchorwa Hub   ,Bulambuli,Mid Eastern,\N,Gamatimbei HC III,eN47KTA7oAK,WA7h1LnGinA
Pakele H/C III,H/C III,Adjumani Hub   ,Adjumani,West Nile,\N,Pakele HC III,LhNgo4n9Wi9,uIwDEsVi0kY
Kigoyera H/C II,H/C II,Kyenjojo Hub   ,Kyenjojo,Mid Western,\N,Kigoyera HC II,n7n89BxSgia,pkiWyQ6ba9r
Kyenzaza H/C II,H/C II,Rugazi Hub   ,Rubirizi,South Western,\N,Kyenzaza HC II,jBqnMmDxLII,fPuwek55KzA
Bunambale H/C III,H/C III,Tororo Hub   ,Manafwa,Mid Eastern,\N,Bunambale HC III,aW4S9Y3XhuV,l9rDEJWrrqJ
Biguli  H/C III,H/C III,Rukunyu Hub    ,Kamwenge,Mid Western,\N,Biguli HC III,Sg3h27N489f,ucoGyJsALe9
Bukimbiri H/C III,H/C III,Kisoro Hub   ,Kisoro,South Western,\N,Bukimbiri HC III,aLRO2msaA9p,Z5ljmLwcS3j
Bubaare H/C III (Kabale),H/C III,Kabale Hub   ,Rubanda,South Western,Lz5IMmqsLcZ,Bubare HC III,Lz5IMmqsLcZ,RsYx10p9Dz0
Busiro H/C III,H/C III,Buyinja Hub   ,Namayingo,East Central,s3KGtzqaMyJ,Busiro HC III,s3KGtzqaMyJ,YhmCHkB4TIY
Rutenga H/C III,H/C III,Kanungu Hub   ,Kanungu,South Western,uTkySNCx3j2,Rutenga HC III,uTkySNCx3j2,Dg7AVolhBMx
Mella H/C III,H/C III,Tororo Hub   ,Tororo,Mid Eastern,hRQXf9wuHdW,Mella HC III,hRQXf9wuHdW,PmPEEY6xduD
Kanyabwanga H/C III,H/C III,kitagata Hub   ,Mitooma,South Western,\N,Kanyabwanga HC III,N5mmOltRto8,zyQ5V5xqxT0
Mutungo H/C II,H/C II,Entebbe Hub   ,Wakiso,Central 1,\N,Mutungo HC II,pu1zq6YEtgu,dwWWRnF9BBq
Molo H/C III,H/C III,Tororo Hub   ,Tororo,Mid Eastern,H0j9ehK06DJ,Molo HC III,H0j9ehK06DJ,vLHulSS8azS
Kyabakuza H/C II,H/C II,Masaka Hub   ,Masaka,Central 1,\N,Kyabakuza HC II,wb2tYXUWWcv,dh9zOrNlwRI
Aloi Mission H/C III,H/C III,Alebtong Hub    ,Alebtong,Mid Northern,q2vSqN5xoZL,Aloi Mission HC III,q2vSqN5xoZL,fqO2X1ni09p
Yoyo H/C III,H/C III,Yumbe Hub   ,Yumbe,West Nile,\N,Yoyo HC III,axmLtifg8dz,IXOvQFkvHJ3
Paminya H/C III,H/C III,Nebbi Hub   ,Nebbi,West Nile,\N,Paminya HC III,t8rivYmnWIo,sAREjPgsK9J
Ofua H/C III,H/C III,Adjumani Hub   ,Adjumani,West Nile,\N,Ofua HC III,BSrrPPLiBZo,euZe0fGwwMp
Kasenyi H/C II,H/C II,Kagando Hub   ,Kasese,Mid Western,\N,Kasenyi HC II,V3oWlkpBLx1,yUcLu3wyu5g
Pajimo H/C III,H/C III,Kitgum Hub   ,Kitgum,Mid Northern,f33lKK2tJNV,Pajimo HC III,f33lKK2tJNV,rHAIVti8RyD
Poyameri H/C III,H/C III,Tororo Hub   ,Tororo,Mid Eastern,GmcwI86bnbe,Poyameri HC III,GmcwI86bnbe,YFvzGtt6Rie
Bumumulo H/C III,H/C III,Budadiri Hub     ,Sironko,Mid Eastern,\N,Bumumulo HC III,ag6oANQZEh6,qs4lEUzdTyU
Butaleja H/C III,H/C III,Busolwe Hub   ,Butaleja,Mid Eastern,\N,Butaleja HC III,Tj9XBHhCMQH,QcWl5z3Wj9q
Mahango H/C III,H/C III,Kilembe Mines Hub   ,Kasese,Mid Western,\N,Mahango HC III,UshPWo8oKzc,voVweVqoQbV
Lotome H/C III,H/C III,Matany Hub   ,Napak,North East,\N,Lotome HC III,PLUp4qPTSvf,ZcWu46cF0qs
Kabubbu H/C III,H/C III,Wakiso Hub  ,Wakiso,Central 1,CWamWxvYUWQ,Kabubbu HC II,CWamWxvYUWQ,yjV9dQ4mm3c
Siripi H/C III,H/C III,Rhino Camp Hub  ,Arua,West Nile,\N,Siripi HC III,F7LKQNLd8M6,KldUktrmFfv
Petta H/C III,H/C III,Tororo Hub   ,Tororo,Mid Eastern,ybSnsdFkWFK,Petta HC III,ybSnsdFkWFK,vLG7RRtUs6Y
Lwajje H/C III,H/C III,Mukono Hub ,Buvuma,Central 2,bBNSvGxVrSq,Lwajje HC II,bBNSvGxVrSq,Mx96EMY6HGI
Robidire H/C III,H/C III,Adjumani Hub   ,Adjumani,West Nile,\N,Robidire HC III,V8su3RPXsiK,KuhDnfu9oLa
Namatale H/C II,H/C II,Buvuma Hub,Buvuma,Central 2,\N,Namatale HC II,LDngLVQbqNI,Ip4RqRbTC4o
St Francis H/C   III Migyeera,\N,Nakasongola Hub   ,Nakasongola,Central 2,ryU8AKAQAnR,ST. Francis HC III,ryU8AKAQAnR,mGjeD7XMZ6v
Paya H/C III,H/C III,Tororo Hub   ,Tororo,Mid Eastern,SotbYUljYZa,Paya HC III,SotbYUljYZa,gvrF2Jt1ikh
Ocea H/C II,H/C II,Rhino Camp Hub  ,Arua,West Nile,\N,Ocea HC II,PJAn1P5SMrd,Bc1zSzt6B4S
Bukibokolo H/C III,H/C III,Bududa Hub    ,Bududa,Mid Eastern,H713vHjaFbd,Bukibokolo HC III,H713vHjaFbd,BT4H9hyItee
St Marys Kigumba H/C III (NGO),H/C III,kiryandongo Hub   ,Kiryandongo,Mid Western,SSfQUjnbstd,St. Mary's Kigumba HC III,SSfQUjnbstd,wvNPZITUn5K
Kambugu H/C III (Kiboga),H/C III,Kiboga Hub   ,Kiboga,Central 2,CMNFahpvV4I,Kiboga Kambugu HC II GOVT,CMNFahpvV4I,Y2BtZeWbIMs
Mirembe H/C III,H/C III,Wakiso Hub  ,Wakiso,Central 1,UYmlNJzKbed,Mirembe HC III,zgl8cvTUMji,mEbuhMl0EB8
Bujugu H/C III,H/C III,Hoima Hub   ,Hoima,Mid Western,Ond9n3CrBxY,Bujugu HC III,Ond9n3CrBxY,BwWIGir2rJQ
Bunambutye H/C III,H/C III,Kapchorwa Hub   ,Bulambuli,Mid Eastern,\N,Bunambutye HC III,TwZ0KmmR1od,IFb4hEZY2U0
Kisubba H/C III,H/C III,Bundibugyo Hub   ,Bundibugyo,Mid Western,aySqIA0RRpH,Kisuba HC III,aySqIA0RRpH,hJwDkR7nszr
Bupoto H/c III,H/C III,Tororo Hub   ,Namisindwa,Mid Eastern,aJCkfyIurtg,Bupoto Hc III,aJCkfyIurtg,DjMhQfwOzS4
Kalowang H/C III,H/C III,Nebbi Hub   ,Nebbi,West Nile,\N,Kalowang HC III,OgnUw0a7ORO,upHQKtxnrAZ
Kisoko H/C III (Tororo),H/C III,Tororo Hub   ,Tororo,Mid Eastern,HNjaSmUnPzM,Kisoko HC III,HNjaSmUnPzM,rF9FXSqhgQM
Kyebando H/C III,H/C III,Kakindo Hub   ,Kibaale,Mid Western,vgRXnM3VETo,Kyebando HC III GOVT,vgRXnM3VETo,IorSAvP9fmv
Bukaya H/C II,H/C II,Kawolo Hub   ,Buikwe ,Central 2,RVSKVTxRcnF,Bukaya HC II,RVSKVTxRcnF,Fat9aThptyn
Nabyewanga H/C II,H/C II,Mpigi Hub    ,Mpigi,Central 1,\N,Nabyewanga HC II,PoYcxTk5yjp,DGsGMYiceg8
Atangi H/C III,H/C III,Tororo Hub   ,Tororo,Mid Eastern,I3q42sKAJua,Atangi HC III,I3q42sKAJua,JW7sxCqO0qL
Kingdom Life Medical Martenity H/C II,H/C II,Kawolo Hub   ,Buikwe ,Central 2,yfEXqa4COUS,Kingdom Life Health Centre CLINIC,yfEXqa4COUS,zu2I5dbmjik
AIDS Information Centre (Kabale),Special Clinic,Kabale Hub   ,Kabale,South Western,s0sTvb5DnDP,AIC Kabale Main Branch Clinic,s0sTvb5DnDP,EUb8i99tJtz
Bujuuko H/C III,H/C III,Mpigi Hub    ,Mpigi,Central 1,pUZjhP8bvwF,Bujuuko HC III,pUZjhP8bvwF,O6BQQfE237h
Sekiwunga H/C III,H/C III,Mpigi Hub    ,Mpigi,Central 1,CB9zwzOqEbX,Sekiwunga HC III,CB9zwzOqEbX,eNA4eYjK92s
Nabuli H/C III,H/C III,Pallisa Hub   ,Kibuku,Mid Eastern,\N,Nabuli HC III,Kt3uooeOw2H,foPVA36Cy93
Butoolo H/C III,H/C III,Mpigi Hub    ,Mpigi,Central 1,Co0DLFVgmGz,Butoolo HC III,Co0DLFVgmGz,flLLkLrJInp
Lamezia H/C III,H/C III,Rushere Hub   ,Kazo,South Western,\N,Lamezia HC III,EJSR69XSWFB,RPf4sNGFavT
Yinga H/C III,H/C III,Arua Hub   ,Arua,West Nile,\N,Yinga HC III,ipOBsWpJ0U7,CCWIXp4avjH
Matanda H/C III,H/C III,Kanungu Hub   ,Kanungu,South Western,\N,Matanda HC III,Sfu2d1yi02W,VUxCWPbAgdX
Kampiringisa H/C III,H/C III,Mpigi Hub    ,Mpigi,Central 1,mm6DbH6wKeQ,Kampiringisa HC III,mm6DbH6wKeQ,roe2vf1zNsW
Kashasha H/C II,H/C II,Kabale Hub   ,Kabale,South Western,\N,Kashasha HC II,x6fCr9Or7HE,ySpxrteILyr
Apodorwa H/C II,H/C II,kiryandongo Hub   ,Kiryandongo,Mid Western,\N,Apodorwa HC II,NwDdmtvuy4J,ZojoYaochUX
